userName;score;at;content
Pengguna Google;2;04/11/2025 04:27;Game nya bagus, seru, tapi tolong banget buat bug nya segera di atasi, aku biasanya main aman aman aja, gak tau kenapa dari minggu lalu baju ava aku ngeblur, bahkan pas masuk map, didalemnya tuh gak muncul semua, map nya pun ikut ngeblur!! jadi tolong bngt segera di atasi, kalo gini terus malah bikin males main
Pengguna Google;4;05/11/2025 07:24;Untuk gamenya sudah sangat bagus dan juga banyak game yang dapat dicoba atau dipetualangi. Tapi, ada kekurangan yang menurut saya cukup mengganggu, yaitu: • Terkadang koneksi terputus saat sinyal tidak bermasalah. • Sering ngelag dan kursor untuk berjalannya bergerak sendiri. • Banyak game yang isinya mengandung kekerasan, seperti omong kotor di kolom chat, saling membully, dan masih banyak lagi. Tolong untuk developer Roblox agar segera mengatasi masalah agar suasana bermain lebih nyaman.
Pengguna Google;1;08/11/2025 03:59;untuk gamenya ini bukan salah roblox, tapi kalo masalah teknis kayak pengguna tablet/android user merasakan bug saat menggunakan mouse dan keyboard. untuk mouse sendiri roblox tidak membuat opsi buat putar 360° dimana ketika mouse mentok dipinggir layar ketika mode lock, maka tidak bisa digerakkan lagi. untuk bug kedua ketika masuk ke mode first person maka sensitivitas layarnya akan hilang, langsung berat, tidak mengikuti default setting sensitivitas layar kita. mereka harus pikirin ini sih.
Pengguna Google;5;06/11/2025 10:29;Hallo Developer, Tolong perbaiki BUG Controller untuk Gamepad. Untuk penyesuaian di Loby Controller masi terdeteksi, tetapi setelah masuk kedalam Game, Analog Kiri untuk menggerakan AVA tidak dapat digunakan. Yang sebelumnya dapat berfungsi dengan baik. Terimakasih. - Versi ( 2.697.926 ) yang rilis pada 28 Oktober 2025
Pengguna Google;5;07/11/2025 04:07;bagus, map nya banyak. ga bosen, main berjam jam pusing mual. kesel tombol lompat nya gak bisa gedein/di atur posisi nya, gak kepencet tombolnya karna jempol gak nyampe woi. mau lompat jatuh mulu padahal udah di pencet tombol nya/layar nya di arahin, main parkour lancar aja tuhh. kenapaa ngelag mulu main map lain. hp panas, kasian yang hp nya meledak. katanya kalo top up di aplikasi/web jadi mahal semua, turunin harga nya. ga semua nya orang kaya, top up di aplikasi engga murah.
Pengguna Google;5;27/10/2025 12:01;Gemenya lumayan tapi kalo aku main map' random kadang tiba-tiba suka dc padahal kuota atau wifi masih lancar tuh terus juga kadang sering nge bug apalagi kalo main map evade kadang tiba-tiba layarnya blur,ga bisa gerak gitu terus kadang kalo malem ga bisa login gitu atau main map soalnya nge lag kalo main malem' tolong ya ini diperbaiki lagi terimakasih.
Pengguna Google;1;09/11/2025 12:28;aplikasi cukup menyenangkan hanya saja batasan untuk chat terlalu ketat, hanya ingin bertukar akun kena pelanggaran, padahal sudah lama berteman, aku tau tujuan nya bagus untuk mendidik agar lebih berhati-hati dalam berteman tapi aku cuman mau tukeran akun loh? pls bikin biar bisa chatan sepuasnya, cape banget tiap chatan di roblox dikit dikit kena..
Pengguna Google;4;04/11/2025 00:04;Game Roblox ini, tidak konsisten lagi. Karena saya sering main game di roblox, terus pas mau gerakin tiba tiba gameplay pause terus kalo saya bergerak, tapi giliran saya diam saja tidak terjadi gameplay pause. jadi tolong ya dihapus aja fitur gameplay pause, soalnya mengganggu kesenangan orang lain.
Pengguna Google;5;05/11/2025 13:55;"seru sih sekarang cmn kenapa klo main map di rblx ada tulisan ""game pause"" padahal jaringan lancar dan bagus, saya mohon untuk di perbaiki masalah ini, oh iya satu lagi padahal dlu walaupun pake grafik rendah baju nya tetap hd dan terlihat jelas tulisannya tapi kenapa sekarang burem dan gak keliatan jelas tulisan yg ada di baju rblx nya walaupun pake grafik hd/tinggi tetep aja masih burem tolong di perbaiki bug nya ya rblx"
Pengguna Google;5;01/11/2025 14:07;bagus banget!, biasa nya kalo aku bosen main ini, hmm tapi kadang ngelag sih tapi gapapa, disitu banyak banget map nya sampe aku bingung harus pilih map apa, ada dead rails, ada Brookhaven, ada map yg temanya tuh survival gitu!, karna ini ngebantu ngilangin stress jadi aku kasih rating 5 deh!
Pengguna Google;4;03/11/2025 03:22;Tolonh sediakan fitur setingan tombol kontrol untuk bagian ukuran dan posisi,dan sesuaikan apk nya agar tidak terlalu berat buat user hp,penggunaan kuota dibatasi agar tidak terlalu besar dalam pemakaian kuota,dan item2 yang sudah di beli tolong jangan dihilangkan tolong ditindak lanjut kedepannya demi kenyamanan player roblox terimakasih🙏🏻
Pengguna Google;5;24/10/2025 15:34;game-nya seru, tapi tolong hp'ku jadi ngelag gara² jaringan, padahal jaringan nya bagus, tapi masih ngelag, kadang² juga keluar sendiri gara² jaringan yg buruk, padahal baik, jadi tolong di perbaiki lagi ya developer, jangan sampai ada bug lagi, dan tolong klo ada org yg add/pertemanan jangan di tombol lompatan, diatas kanan kan bisa, jadi tolong di perbaiki lagi ya ☺☺
Pengguna Google;5;06/11/2025 08:33;game ini seru abisss!! bisa pilih pilih map juga map nya juga banyak lagi jadi bisa dipilih pilih tapi ada 3 hal yang bikin aku sebell, jadi kita kalau mau beli item atau baju atau apa kek, harus pakai Robux, Robux nya juga mahal mahal lagi, terus juga kalau gak dimainin selama seminggu gak sampai itu harus bikin akun baruu, aku kira ini game offline ternyata enggak, kalau jaringan nya jelek wifinya 1-2 gitu harus bikin akun baruuu tapi aku tetep kasih bintang 5 karna seru diperbaiki lagi ya
Pengguna Google;5;02/11/2025 09:56;"seru, bisa dapat banyak teman, dan juga banyak map map yg bisa kita mainkan, tapi roblox ini masih saja ada kendala di status penjaringan padahal memakai wifi+5g, jaringan juga mendukung, tapi ketika bermain masih saja ada peringatan ""game pause"" ini kenapa sekian dari saya🙏🙏"
Pengguna Google;5;19/10/2025 07:49;BAGUSSSS, cuman minus nya kalo ada yg nge add pas di map, itu ga bisa teken tombol loncat, aku sarana kalo ada yg nge add mending di atas kanan aja, mau di map/dilobby. Dan ini banyak banget map yg realistis, sampe hp aku ngelag, coba kalo map Gitu mending buat pc/iPhone aja, jadi Android ga ngeleagg
Pengguna Google;3;01/11/2025 06:20;"game nya lumayan, tapi banyak banget bug login nya, saya lagi main salah satu map di game roblox terus tiba-tiba saya keluar sendiri, saat saya ingin login kembali seketika malah ada teks seperti ini ""Tidak bisa menghubungi server. Periksa koneksi internet kamu"" padahal udah pake wifi, buat main tiktok/yt bisa, tapi waktu main roblox ga bisa, ini kenapa ya developer? tolong segera di perbaiki, untuk saat ini saya kasih bintang 3 dulu 🙏"
Pengguna Google;5;08/11/2025 13:10;⋆. 𐙚 ˚haloo, ini game bagus bngt dan aku suka tapi....ada sedikit kesalahan saat aku main. seperti dc padahal jaringannya kuat/nyala dan masih banyak, dll. mohon diperbaikin/periksa ya !! terimakasih ⋆. 𐙚 ˚
Pengguna Google;5;05/11/2025 18:46;Semoga fitur menambahkan teman lebih di permudah lagi, misalkan kita bisa search di Lobby/Home Roblox dan kita ketik usernamenya. Overall udah Bagus banget kok game nya + bermacam macam game di dalamnya. Oh iya, dan satu lagi adalah masalah sinyal padahal saya memakai WiFi dan kekuatan sinyalnya pun kuat - sangat kuat tetapi bahkan masih saja reconnect lalu langsung ke menu utama. Udah itu aja sih, thanks a lot!
Pengguna Google;5;31/10/2025 04:44;"seru bgt cuma ada masalah"" yg harus di perbaiki yaitu lag ketika jaringan kuat itu sering terjadi kepada saya tpi itu saya maklumi karena roblox memang game yg lumayan berat 2.lag yg terjadi di seluruh dunia lag nya bikin saya tidak bisa bermain ,3.lag saat mati di map roblox padahal sinyal kuat. baik segitu saja yg perlu di tangani oleh pihak roblox nya terimakasih."
Pengguna Google;5;06/11/2025 00:38;Permainan ini sangat bagus, aku bermain dari dulu masih seru, tapi tolong di perbaiki karena saat internet aku lancar tiba tiba malah disconnect dan lag sekali, padahal enak main,di tambah ada bug yang membuat barang atau benda tiba tiba hilang, dinding rumah bisa di tembus,DLL [mohon di baca]
Pengguna Google;4;06/11/2025 05:29;bagi ku, Roblox ini adalah game yang sangat menyenangkan dan menghilangkan stress. Tapi tolong perbaiki hal-hal yang membuat pemainnya menjadi kesal, seperti tidak bisa masuk map, dan sering keluar dari map secara tiba-tiba. Sejauh ini, aku main seru-seru aja ko^v^
Pengguna Google;4;07/11/2025 21:13;game nya seru cuma aga banyak bug di map, kayak misalnya lagi main tiba tiba disconnect padahal jaringan lancar, tolong di perbaiki untuk bug nya, tapi game nya sueruuuuu pwollllll cuma ya itu bug nya, terima kasih saya ucapkan yang sudah baca sampai akhir kalimat see youu. tapi game nya seruuu banget aku sukaaa❤❤❤❤💕💕
Pengguna Google;5;26/10/2025 15:09;dibeberapa perangkat android, untuk pilihan Input hanya tersedia Default Android output dan Android output. Yang seharusnya Android input, jadinya microphone bawaan android atau headphone tidak terdeteksi oleh roblox. Namun icon mic terlihat status merekam. segera di fix karena hal ini terjadi di banyak perangkat
Pengguna Google;1;09/11/2025 06:31;ga ramah sama player hp, dpi udah di ubah masih aja tombolnya ga bisa diatur, tombolnya kegedean lah, kekecilan lah, adain dong buat kontrol tombolnya biar bisa di pindahin. cuma itu doang tombol lompatnya doang biar bisa di atur di pindahin, game sampah
Pengguna Google;5;18/10/2025 10:44;game nya asyik skli,tetapi mohon jika sya membuat akun baru selalu di suruh login/daftar bagi org yg pelupa pasti akan kesal atau marah jadi tolong di per baiki dengan detail lagi ya! udh asyik map nya emg bnyak cuman bug nya atau yg di suruh login dan daftar nya mohon banget ya bantuan nya saya sdh lma mainkan game ini🙏🏻.
Pengguna Google;5;05/11/2025 05:40;"Game nya seru tapi ada 3 bug yang bikin aku kesal (1.kenapa pas main tower aku mau keluar masuk lagi?aneh kan (2.pas mau buka Roblox tiba2 ada tulisan ""coba lagi""padahal wifi aku itu bagus (3.ini yang aku ngeselinn bangett aku main 99 tapi ngeleg mau lompat aja ngeleg gituu sama gameplayy tolong ya roblox perbaiki bug bug nya oke sekian terimakasih"
Pengguna Google;1;22/10/2025 13:12;Semenjak sering update, game ini semakin berat, semakin banyak bug, tambah boros kuota. Gue kecewa berat sih, gue main game ini udh hampir 2 tahun, dan udh ngerasain perbedaan yang sesungguhnya dalam performa game ini. Katanya, setiap update bakalan kurang bugnya, tapi apa, ternyata malah tambah ngelag, padahal memori HP gue nggk penuh, sisa 6 GB, tapi kok bisa ya masih tetap ngelag, hpa ku juga sering panas, padahal baru bentar main gamenya, tolong perbaiki game ini dengan baik kembali.
Pengguna Google;5;01/11/2025 03:53;seru banget asliiii😝😝 bisa mabar sama temen, melatih kreatifitas, tempat belajar bersosialisasi, dll.! mines nya itu, tolong banget nih ya roblox☹️ terkadang ada beberapa orang yang toxic dan menyesatkan. terus, juga ada map sus gitu☹️ itu aja sih yang aku tauu, recomended banget pokoknya!!❤️‍🩹
Pengguna Google;5;01/11/2025 12:08;Game nya sih lumayan seru dan engga bosenin tapi yah cuman karakter nya suka lompat lompat sendiri and sering keluar map tiba tiba untuk sekarang ku kasih 4 sementara and untuk developer nya tolong perbaiki bug bug di aplikasi ini , semoga di baca sama developer nya makasih.
Pengguna Google;5;04/11/2025 01:11;gamenya bagus tapi mohon untuk hilangkan bugnya soalnya saya pernah ngalamin bug jalan sendiri dan saat saya main brokheaven itu waktu mau nulis gitu agak ngelag dikit meski begitu saya tetap suka roblox. Dan saya pernah ngalamin nge stuck. tolong diperbaiki lagi
Pengguna Google;5;20/10/2025 08:18;Suka banget sama aplikasi ini, karena semuanya lengkap, dan apapun yang lagi nge trend pasti ada. cuma, sayangnya gak semua handphone bisa download Roblox. dan, kadang juga ngelag-ngelag sendiri, padahal sinyal bagus, HP juga gak ada masalah, tapi ngelag-ngelag gak jelas.
Pengguna Google;5;08/11/2025 05:10;Gamenya seruuu banget misalnya kalo bosen main game ini bisa pindah dan juga ga kalah seru kita bisa berkomunikasi sama teman chat gitu atau juga voice chat TPI harus butuh umur 17 keatas dan harus punya KTP dan menurutku game nya seruh bett tpi ada kemungkinan yah kalo misalnya data/wifi freshh suka bug dan error dan disconet terus tiba tiba keluar sendiri dari game jadi tolong diperbaiki ya menurutku game unik dan seru berkembang terus ya Roblox
Pengguna Google;2;09/11/2025 13:03;ini game kalau masuk gak bisa, ngelag dia, ditambah lagi kalau mau main itu hrs hp memorinya, tapi hasil nya tetap aja ngelag saat mau main, tolong perbaiki bug atau lag ya, jangan bandingin memori ya,saya ingin main roblox.☹️🙏
Pengguna Google;5;20/10/2025 10:23;Setelah update terbaru, semua logo game di halaman Home hilang dan Roblox jadi sangat lag. Sudah coba hapus cache/data, reinstall, dan ganti jaringan tapi tetap tidak muncul. Mohon segera diperbaiki karena sulit memainkan game tanpa thumbnail,ataupun dengan lag yang parah.
Pengguna Google;5;31/10/2025 07:26;permainan ini sangat bagus,dan banyak permainan² yang seru.tapi ada sedikit kekurangan contoh: 1.ngelek padahal wifi masih lancar. 2.game nya panas dan berat. 3.saya sudah ganti Avatar tapi pas main malah kagak keganti Ava nya. Perbaiki lagi ya Makasih
Pengguna Google;1;07/11/2025 08:51;Kok di update kali ini meresahkan yh, aku udh nyoba dengan reset data, nyalakan ulang handphone, instal ulang juga bersihkan memo tpi di tengah main forsaken suka keluar sendiri! ini sangat menganggu tolong aku jdi tak bisa menikmati game favourite ku, plus nguras lebih bnyk data daripada tahun tahun sebelumnya. kinerja nya gk maksimal :( Kuharap roblox membaca pesan ku agar aku dapat menikmati gamenya seperti sedia kala
Pengguna Google;1;09/11/2025 11:19;game ini membuat masalah besar kebanyakan orang saat mau login ketika tidak memakai kunci layar harus verifikasi bagi yang tidak tau mereka sedih yang sudah mendapatkan item item bagus saat mereka bermain tapi hilang begitu saja saya mohon untuk passkey verifikasi 2 langkah untuk dihilangkan dari roblox mungkin itu saja yang dapat saya sampaikan saya menulis ini di:2025-november-9
Pengguna Google;4;08/11/2025 09:25;"Bagus sih gemesnya so far banyak map, bisa punya teman lebih 200 (dulu kan maksimalnya punya teman 200) sekarang bisa lebih, tapi kadang banyak ngebung nya jadi kadang keluar sendiri geme nya terus kadang roblox nya bilang ""Jaringan kurang stabil"" padahal internet ku lancar lancar aja, tapi gak papa deh menghibur kok gemenya😍🥰 sejauh ini aku kasih bintang 4 dulu 😚🤝🤩"
Pengguna Google;5;20/10/2025 07:21;game nya asyik seru,bagus ,apalagi bisa mabar sama temen,seru pokoknya,tp tolong bug nya itu loh ganggu bngett Tolong diperbaiki,apalagi tombol loncat nya kadang gk fungsi pas mau loncat,udh tinggi banget tower nya tp,malah jatuh,apalagi kamera nya kadang belok sendiri gitu,loh tp gpp seru kok ☘️, makasih atas game yg dibuat Roblox
Pengguna Google;2;19/10/2025 14:45;Tolong fitur gameplay pause nya diperbaiki, atau dihapus saja karena itu sangat menganggu saat saya bermain karena saat sedang bermain tiba2 muncul dan lama hilang nya, dan tolong di optimalkan lagi karena masih sedikit berat untuk device saya, tiba2 keluar dan fitur gameplay pause nya yang paling mengganggu
Pengguna Google;4;25/10/2025 03:08;saya masih belum cukup puas dan ada beberapa yang sering menganggu saya , 1.sering disconnect padahal jaringan sangat bagus , 2. kalau blokir akun Roblox orang lain nanggepin nya lambat bahkan hampir 8 bulan baru bisa di tanggap , 3.sering melihat Karakter orang lain ngebug , 4. terkadang terjemahan nya tidak sesuai dengan bahasa nya / kalimat nya .. , dan ada beberapa game yang 17++ ☠️ , dan tOlOnG rOblOx dIjAdIkAn gAmE offlinE dan ramah bagi pemain yg msih dibawah umur 😁🗿
Pengguna Google;5;04/11/2025 05:43;Buat Roblox enak enak aja ya,tapi bug nya itu lho,kadang ngefris gitu kamera nya,habis tuh ya,kamera nya ngikut kita gitu macam,kita pas jalan tuh ya,ikutin gitu,tolong perbaiki yaa, terus kalo lagi main tower lama lama game nya keluar sendir kadang ngelagg nya itu ga ngotak padahal jaringan ku baik-baik aja,trus pas ak lagi main tiba tiba disconnect buat nya jadi kesel gitu,jadi moga bisa di upgrade ke yang lebih baik/bagus ya!! tysm>3
